,FIPS_IN,FIPS_OUT,Res_State_Name,Res_County_Name,Work_State_Name,Work_County_Name,Workers in Commuting Flow,Population,Facility
5,48113,48397,Texas,Rockwall County,Texas,Dallas County,18161,94870,Region 6 Warehouse
6,48113,48439,Texas,Tarrant County,Texas,Dallas County,144079,2009543,Region 6 Warehouse
0,20091,20045,Kansas,Douglas County,Kansas,Johnson County,5551,120191,Region 7 Headquarters
1,20091,20091,Kansas,Johnson County,Kansas,Johnson County,207513,594874,Region 7 Headquarters
2,20091,20103,Kansas,Leavenworth County,Kansas,Johnson County,3741,80643,Region 7 Headquarters
3,20091,20121,Kansas,Miami County,Kansas,Johnson County,7277,33090,Region 7 Headquarters
4,20091,20209,Kansas,Wyandotte County,Kansas,Johnson County,19891,166945,Region 7 Headquarters
5,20091,29037,Missouri,Cass County,Kansas,Johnson County,8364,103069,Region 7 Headquarters
6,20091,29047,Missouri,Clay County,Kansas,Johnson County,7327,236144,Region 7 Headquarters
7,20091,29095,Missouri,Jackson County,Kansas,Johnson County,42539,705496,Region 7 Headquarters
8,20091,29165,Missouri,Platte County,Kansas,Johnson County,4213,97789,Region 7 Headquarters
0,29099,29071,Missouri,Franklin County,Missouri,Jefferson County,880,104486,Region 7 Superfund Warehouse
1,29099,29099,Missouri,Jefferson County,Missouri,Jefferson County,38000,226606,Region 7 Superfund Warehouse
2,29099,29186,Missouri,Ste. Genevieve County,Missouri,Jefferson County,612,18081,Region 7 Superfund Warehouse
3,29099,29187,Missouri,St. Francois County,Missouri,Jefferson County,1049,68497,Region 7 Superfund Warehouse
4,29099,29189,Missouri,St. Louis County,Missouri,Jefferson County,6440,1013355,Region 7 Superfund Warehouse
5,29099,29221,Missouri,Washington County,Missouri,Jefferson County,852,25361,Region 7 Superfund Warehouse
6,29099,29510,Missouri,St. Louis city,Missouri,Jefferson County,1096,316260,Region 7 Superfund Warehouse
0,29047,20091,Kansas,Johnson County,Missouri,Clay County,4975,594874,"Region 7 Warehouse, Hunt Midwest, Subtrop Building 81C"
1,29047,20209,Kansas,Wyandotte County,Missouri,Clay County,2073,166945,"Region 7 Warehouse, Hunt Midwest, Subtrop Building 81C"
2,29047,29047,Missouri,Clay County,Missouri,Clay County,55022,236144,"Region 7 Warehouse, Hunt Midwest, Subtrop Building 81C"
3,29047,29049,Missouri,Clinton County,Missouri,Clay County,2091,20916,"Region 7 Warehouse, Hunt Midwest, Subtrop Building 81C"
4,29047,29095,Missouri,Jackson County,Missouri,Clay County,14695,705496,"Region 7 Warehouse, Hunt Midwest, Subtrop Building 81C"
5,29047,29165,Missouri,Platte County,Missouri,Clay County,7392,97789,"Region 7 Warehouse, Hunt Midwest, Subtrop Building 81C"
6,29047,29177,Missouri,Ray County,Missouri,Clay County,3503,23397,"Region 7 Warehouse, Hunt Midwest, Subtrop Building 81C"
0,8035,8001,Colorado,Adams County,Colorado,Douglas County,2942,499042,Region 8 Castle Rock Warehouse
1,8035,8005,Colorado,Arapahoe County,Colorado,Douglas County,20665,637891,Region 8 Castle Rock Warehouse
2,8035,8031,Colorado,Denver County,Colorado,Douglas County,10518,699791,Region 8 Castle Rock Warehouse
3,8035,8035,Colorado,Douglas County,Colorado,Douglas County,67951,335339,Region 8 Castle Rock Warehouse
4,8035,8039,Colorado,Elbert County,Colorado,Douglas County,2331,25458,Region 8 Castle Rock Warehouse
5,8035,8041,Colorado,El Paso County,Colorado,Douglas County,1796,692861,Region 8 Castle Rock Warehouse
6,8035,8059,Colorado,Jefferson County,Colorado,Douglas County,8064,578496,Region 8 Castle Rock Warehouse
0,8031,8001,Colorado,Adams County,Colorado,Denver County,58697,499042,Region 8 Headquarters (16th and Wynkoop)
1,8031,8005,Colorado,Arapahoe County,Colorado,Denver County,92622,637891,Region 8 Headquarters (16th and Wynkoop)
2,8031,8013,Colorado,Boulder County,Colorado,Denver County,8003,328355,Region 8 Headquarters (16th and Wynkoop)
3,8031,8014,Colorado,Broomfield County,Colorado,Denver County,5051,68917,Region 8 Headquarters (16th and Wynkoop)
4,8031,8031,Colorado,Denver County,Colorado,Denver County,210717,699791,Region 8 Headquarters (16th and Wynkoop)
5,8031,8035,Colorado,Douglas County,Colorado,Denver County,26834,335339,Region 8 Headquarters (16th and Wynkoop)
6,8031,8059,Colorado,Jefferson County,Colorado,Denver County,68190,578496,Region 8 Headquarters (16th and Wynkoop)
7,8031,8123,Colorado,Weld County,Colorado,Denver County,6239,298207,Region 8 Headquarters (16th and Wynkoop)
0,6013,6001,California,Alameda County,California,Contra Costa County,41010,1647386,Region 9 Lab
1,6013,6013,California,Contra Costa County,California,Contra Costa County,283631,1135585,Region 9 Lab
2,6013,6075,California,San Francisco County,California,Contra Costa County,4116,871042,Region 9 Lab
3,6013,6077,California,San Joaquin County,California,Contra Costa County,5861,744029,Region 9 Lab
4,6013,6095,California,Solano County,California,Contra Costa County,19504,439903,Region 9 Lab
0,13059,13013,Georgia,Barrow County,Georgia,Clarke County,2207,77579,Region Four Field Equipment Center
1,13059,13059,Georgia,Clarke County,Georgia,Clarke County,41469,128419,Region Four Field Equipment Center
2,13059,13135,Georgia,Gwinnett County,Georgia,Clarke County,1849,911881,Region Four Field Equipment Center
3,13059,13157,Georgia,Jackson County,Georgia,Clarke County,3481,65820,Region Four Field Equipment Center
4,13059,13195,Georgia,Madison County,Georgia,Clarke County,5159,28952,Region Four Field Equipment Center
5,13059,13219,Georgia,Oconee County,Georgia,Clarke County,7711,36936,Region Four Field Equipment Center
6,13059,13221,Georgia,Oglethorpe County,Georgia,Clarke County,3015,15499,Region Four Field Equipment Center
7,13059,13297,Georgia,Walton County,Georgia,Clarke County,1405,90861,Region Four Field Equipment Center
0,13059,13013,Georgia,Barrow County,Georgia,Clarke County,2207,77579,Region Four Science and Ecosystems Support Division Laboratory
1,13059,13059,Georgia,Clarke County,Georgia,Clarke County,41469,128419,Region Four Science and Ecosystems Support Division Laboratory
2,13059,13135,Georgia,Gwinnett County,Georgia,Clarke County,1849,911881,Region Four Science and Ecosystems Support Division Laboratory
3,13059,13157,Georgia,Jackson County,Georgia,Clarke County,3481,65820,Region Four Science and Ecosystems Support Division Laboratory
4,13059,13195,Georgia,Madison County,Georgia,Clarke County,5159,28952,Region Four Science and Ecosystems Support Division Laboratory
5,13059,13219,Georgia,Oconee County,Georgia,Clarke County,7711,36936,Region Four Science and Ecosystems Support Division Laboratory
6,13059,13221,Georgia,Oglethorpe County,Georgia,Clarke County,3015,15499,Region Four Science and Ecosystems Support Division Laboratory
7,13059,13297,Georgia,Walton County,Georgia,Clarke County,1405,90861,Region Four Science and Ecosystems Support Division Laboratory
0,42101,10003,Delaware,New Castle County,Pennsylvania,Philadelphia County,8972,566709,Region Three Headquarters
1,42101,34005,New Jersey,Burlington County,Pennsylvania,Philadelphia County,16884,458813,Region Three Headquarters
2,42101,34007,New Jersey,Camden County,Pennsylvania,Philadelphia County,31757,521544,Region Three Headquarters
3,42101,34015,New Jersey,Gloucester County,Pennsylvania,Philadelphia County,16169,297714,Region Three Headquarters
4,42101,42017,Pennsylvania,Bucks County,Pennsylvania,Philadelphia County,34582,633624,Region Three Headquarters
5,42101,42029,Pennsylvania,Chester County,Pennsylvania,Philadelphia County,12297,523967,Region Three Headquarters
6,42101,42045,Pennsylvania,Delaware County,Pennsylvania,Philadelphia County,52493,568691,Region Three Headquarters
7,42101,42091,Pennsylvania,Montgomery County,Pennsylvania,Philadelphia County,58910,832043,Region Three Headquarters
8,42101,42101,Pennsylvania,Philadelphia County,Pennsylvania,Philadelphia County,473604,1587761,Region Three Headquarters
0,48113,48085,Texas,Collin County,Texas,Dallas County,152920,953140,Renaissance Tower
1,48113,48113,Texas,Dallas County,Texas,Dallas County,972082,2609461,Renaissance Tower
2,48113,48121,Texas,Denton County,Texas,Dallas County,110780,811627,Renaissance Tower
3,48113,48139,Texas,Ellis County,Texas,Dallas County,24757,168431,Renaissance Tower
4,48113,48257,Texas,Kaufman County,Texas,Dallas County,21602,118233,Renaissance Tower
5,48113,48397,Texas,Rockwall County,Texas,Dallas County,18161,94870,Renaissance Tower
6,48113,48439,Texas,Tarrant County,Texas,Dallas County,144079,2009543,Renaissance Tower
0,37063,37001,North Carolina,Alamance County,North Carolina,Durham County,4214,161563,Research Triangle Park
1,37063,37037,North Carolina,Chatham County,North Carolina,Durham County,3125,74307,Research Triangle Park
2,37063,37063,North Carolina,Durham County,North Carolina,Durham County,97552,313764,Research Triangle Park
3,37063,37077,North Carolina,Granville County,North Carolina,Durham County,5741,58822,Research Triangle Park
4,37063,37101,North Carolina,Johnston County,North Carolina,Durham County,2128,192615,Research Triangle Park
5,37063,37135,North Carolina,Orange County,North Carolina,Durham County,18142,143125,Research Triangle Park
6,37063,37145,North Carolina,Person County,North Carolina,Durham County,4359,40035,Research Triangle Park
7,37063,37183,North Carolina,Wake County,North Carolina,Durham County,53082,1061504,Research Triangle Park
0,29510,17119,Illinois,Madison County,Missouri,St. Louis city,14195,268295,Robert A. Young Federal Building
1,29510,17133,Illinois,Monroe County,Missouri,St. Louis city,3356,34585,Robert A. Young Federal Building
2,29510,17163,Illinois,St. Clair County,Missouri,St. Louis city,16819,268351,Robert A. Young Federal Building
3,29510,29099,Missouri,Jefferson County,Missouri,St. Louis city,14473,226606,Robert A. Young Federal Building
4,29510,29183,Missouri,St. Charles County,Missouri,St. Louis city,14473,396448,Robert A. Young Federal Building
5,29510,29189,Missouri,St. Louis County,Missouri,St. Louis city,96037,1013355,Robert A. Young Federal Building
6,29510,29510,Missouri,St. Louis city,Missouri,St. Louis city,82233,316260,Robert A. Young Federal Building
0,54039,54005,West Virginia,Boone County,West Virginia,Kanawha County,1890,24788,Robert C Byrd Courthouse
1,54039,54011,West Virginia,Cabell County,West Virginia,Kanawha County,1994,98972,Robert C Byrd Courthouse
2,54039,54019,West Virginia,Fayette County,West Virginia,Kanawha County,1828,45918,Robert C Byrd Courthouse
3,54039,54035,West Virginia,Jackson County,West Virginia,Kanawha County,2812,29985,Robert C Byrd Courthouse
4,54039,54039,West Virginia,Kanawha County,West Virginia,Kanawha County,73747,189181,Robert C Byrd Courthouse
5,54039,54043,West Virginia,Lincoln County,West Virginia,Kanawha County,1966,22436,Robert C Byrd Courthouse
6,54039,54079,West Virginia,Putnam County,West Virginia,Kanawha County,9932,58733,Robert C Byrd Courthouse
7,54039,54087,West Virginia,Roane County,West Virginia,Kanawha County,1084,14587,Robert C Byrd Courthouse
0,9009,9001,Connecticut,Fairfield County,Connecticut,New Haven County,25891,964796,Robert N. Giaimo Federal Building
1,9009,9003,Connecticut,Hartford County,Connecticut,New Haven County,20524,906357,Robert N. Giaimo Federal Building
2,9009,9005,Connecticut,Litchfield County,Connecticut,New Haven County,12968,187185,Robert N. Giaimo Federal Building
3,9009,9007,Connecticut,Middlesex County,Connecticut,New Haven County,14943,166528,Robert N. Giaimo Federal Building
4,9009,9009,Connecticut,New Haven County,Connecticut,New Haven County,305190,873829,Robert N. Giaimo Federal Building
0,40123,40027,Oklahoma,Cleveland County,Oklahoma,Pontotoc County,283,283454,Robert S. Kerr Environmental Research Center
1,40123,40029,Oklahoma,Coal County,Oklahoma,Pontotoc County,351,5885,Robert S. Kerr Environmental Research Center
2,40123,40049,Oklahoma,Garvin County,Oklahoma,Pontotoc County,353,28375,Robert S. Kerr Environmental Research Center
3,40123,40063,Oklahoma,Hughes County,Oklahoma,Pontotoc County,316,13834,Robert S. Kerr Environmental Research Center
4,40123,40099,Oklahoma,Murray County,Oklahoma,Pontotoc County,221,14482,Robert S. Kerr Environmental Research Center
5,40123,40123,Oklahoma,Pontotoc County,Oklahoma,Pontotoc County,15654,38868,Robert S. Kerr Environmental Research Center
6,40123,40125,Oklahoma,Pottawatomie County,Oklahoma,Pontotoc County,277,72652,Robert S. Kerr Environmental Research Center
7,40123,40133,Oklahoma,Seminole County,Oklahoma,Pontotoc County,607,25620,Robert S. Kerr Environmental Research Center
0,21111,18019,Indiana,Clark County,Kentucky,Jefferson County,18466,117971,Romano Mazzoli Federal Building
1,21111,18043,Indiana,Floyd County,Kentucky,Jefferson County,12020,78666,Romano Mazzoli Federal Building
2,21111,18061,Indiana,Harrison County,Kentucky,Jefferson County,4679,40233,Romano Mazzoli Federal Building
3,21111,21029,Kentucky,Bullitt County,Kentucky,Jefferson County,22263,81109,Romano Mazzoli Federal Building
4,21111,21111,Kentucky,Jefferson County,Kentucky,Jefferson County,323561,769866,Romano Mazzoli Federal Building
5,21111,21185,Kentucky,Oldham County,Kentucky,Jefferson County,17459,66569,Romano Mazzoli Federal Building
6,21111,21211,Kentucky,Shelby County,Kentucky,Jefferson County,6069,46109,Romano Mazzoli Federal Building
7,21111,21215,Kentucky,Spencer County,Kentucky,Jefferson County,5233,18375,Romano Mazzoli Federal Building
0,13121,13057,Georgia,Cherokee County,Georgia,Fulton County,22292,243136,Sam Nunn Atlanta Federal Center
1,13121,13063,Georgia,Clayton County,Georgia,Fulton County,36020,276308,Sam Nunn Atlanta Federal Center
2,13121,13067,Georgia,Cobb County,Georgia,Fulton County,94600,750357,Sam Nunn Atlanta Federal Center
3,13121,13077,Georgia,Coweta County,Georgia,Fulton County,11692,141554,Sam Nunn Atlanta Federal Center
4,13121,13089,Georgia,DeKalb County,Georgia,Fulton County,118775,735282,Sam Nunn Atlanta Federal Center
5,13121,13097,Georgia,Douglas County,Georgia,Fulton County,16239,141880,Sam Nunn Atlanta Federal Center
6,13121,13113,Georgia,Fayette County,Georgia,Fulton County,13017,112893,Sam Nunn Atlanta Federal Center
7,13121,13117,Georgia,Forsyth County,Georgia,Fulton County,27037,228348,Sam Nunn Atlanta Federal Center
8,13121,13121,Georgia,Fulton County,Georgia,Fulton County,340776,1022768,Sam Nunn Atlanta Federal Center
9,13121,13135,Georgia,Gwinnett County,Georgia,Fulton County,72526,911881,Sam Nunn Atlanta Federal Center
10,13121,13151,Georgia,Henry County,Georgia,Fulton County,17933,224077,Sam Nunn Atlanta Federal Center
11,13121,13223,Georgia,Paulding County,Georgia,Fulton County,9909,155195,Sam Nunn Atlanta Federal Center
0,4013,4013,Arizona,Maricopa County,Arizona,Maricopa County,1752699,4310918,Sandra D. O'Connor Courthouse
1,4013,4021,Arizona,Pinal County,Arizona,Maricopa County,58341,421992,Sandra D. O'Connor Courthouse
0,53033,53033,Washington,King County,Washington,King County,977541,2161990,Sea King Industrial Park
1,53033,53053,Washington,Pierce County,Washington,King County,90535,862336,Sea King Industrial Park
2,53033,53061,Washington,Snohomish County,Washington,King County,119853,784389,Sea King Industrial Park
0,42045,10003,Delaware,New Castle County,Pennsylvania,Delaware County,9547,566709,Secure Vehicle Storage
1,42045,34007,New Jersey,Camden County,Pennsylvania,Delaware County,2651,521544,Secure Vehicle Storage
2,42045,34015,New Jersey,Gloucester County,Pennsylvania,Delaware County,3515,297714,Secure Vehicle Storage
3,42045,42017,Pennsylvania,Bucks County,Pennsylvania,Delaware County,2612,633624,Secure Vehicle Storage
4,42045,42029,Pennsylvania,Chester County,Pennsylvania,Delaware County,19164,523967,Secure Vehicle Storage
5,42045,42045,Pennsylvania,Delaware County,Pennsylvania,Delaware County,137983,568691,Secure Vehicle Storage
6,42045,42091,Pennsylvania,Montgomery County,Pennsylvania,Delaware County,13175,832043,Secure Vehicle Storage
7,42045,42101,Pennsylvania,Philadelphia County,Pennsylvania,Delaware County,17676,1587761,Secure Vehicle Storage
0,30049,30007,Montana,Broadwater County,Montana,Lewis and Clark County,621,5771,Senator Max Sieben Baucus Federal Building
1,30049,30043,Montana,Jefferson County,Montana,Lewis and Clark County,2581,11712,Senator Max Sieben Baucus Federal Building
2,30049,30049,Montana,Lewis and Clark County,Montana,Lewis and Clark County,31183,67925,Senator Max Sieben Baucus Federal Building
0,18097,18011,Indiana,Boone County,Indiana,Marion County,11115,68123,Shadeland Office Building
1,18097,18057,Indiana,Hamilton County,Indiana,Marion County,61624,325095,Shadeland Office Building
2,18097,18059,Indiana,Hancock County,Indiana,Marion County,15331,75512,Shadeland Office Building
3,18097,18063,Indiana,Hendricks County,Indiana,Marion County,36137,164818,Shadeland Office Building
4,18097,18081,Indiana,Johnson County,Indiana,Marion County,29933,153680,Shadeland Office Building
5,18097,18095,Indiana,Madison County,Indiana,Marion County,6647,129792,Shadeland Office Building
6,18097,18097,Indiana,Marion County,Indiana,Marion County,349222,952385,Shadeland Office Building
7,18097,18109,Indiana,Morgan County,Indiana,Marion County,11052,70283,Shadeland Office Building
0,6037,6037,California,Los Angeles County,California,Los Angeles County,4181968,10275545,Southern California Response Warehouse
1,6037,6059,California,Orange County,California,Los Angeles County,185058,3229809,Southern California Response Warehouse
2,6037,6065,California,Riverside County,California,Los Angeles County,51975,2388710,Southern California Response Warehouse
3,6037,6071,California,San Bernardino County,California,Los Angeles County,135859,2153382,Southern California Response Warehouse
4,6037,6111,California,Ventura County,California,Los Angeles County,68295,861790,Southern California Response Warehouse
0,9001,9001,Connecticut,Fairfield County,Connecticut,Fairfield County,353084,964796,Stamford Government Center
1,9001,9005,Connecticut,Litchfield County,Connecticut,Fairfield County,11707,187185,Stamford Government Center
2,9001,9009,Connecticut,New Haven County,Connecticut,Fairfield County,51350,873829,Stamford Government Center
3,9001,36061,New York,New York County,Connecticut,Fairfield County,4899,1664404,Stamford Government Center
4,9001,36119,New York,Westchester County,Connecticut,Fairfield County,19444,985735,Stamford Government Center
0,39035,39035,Ohio,Cuyahoga County,Ohio,Cuyahoga County,502300,1256007,"Steinmart Plaza, Westlake, Oh"
1,39035,39055,Ohio,Geauga County,Ohio,Cuyahoga County,16920,95079,"Steinmart Plaza, Westlake, Oh"
2,39035,39085,Ohio,Lake County,Ohio,Cuyahoga County,38430,232189,"Steinmart Plaza, Westlake, Oh"
3,39035,39093,Ohio,Lorain County,Ohio,Cuyahoga County,43600,307873,"Steinmart Plaza, Westlake, Oh"
4,39035,39103,Ohio,Medina County,Ohio,Cuyahoga County,27647,179953,"Steinmart Plaza, Westlake, Oh"
5,39035,39133,Ohio,Portage County,Ohio,Cuyahoga County,11872,165891,"Steinmart Plaza, Westlake, Oh"
6,39035,39153,Ohio,Summit County,Ohio,Cuyahoga County,35941,546646,"Steinmart Plaza, Westlake, Oh"
0,36061,9001,Connecticut,Fairfield County,New York,New York County,29746,964796,Ted Weiss Federal Office Building (formerly Foley Square FOB)
1,36061,34003,New Jersey,Bergen County,New York,New York County,66501,950113,Ted Weiss Federal Office Building (formerly Foley Square FOB)
2,36061,34013,New Jersey,Essex County,New York,New York County,34421,807352,Ted Weiss Federal Office Building (formerly Foley Square FOB)
3,36061,34017,New Jersey,Hudson County,New York,New York County,87708,689758,Ted Weiss Federal Office Building (formerly Foley Square FOB)
4,36061,34023,New Jersey,Middlesex County,New York,New York County,28970,855458,Ted Weiss Federal Office Building (formerly Foley Square FOB)
5,36061,36005,New York,Bronx County,New York,New York County,204163,1468348,Ted Weiss Federal Office Building (formerly Foley Square FOB)
6,36061,36047,New York,Kings County,New York,New York County,429343,2688928,Ted Weiss Federal Office Building (formerly Foley Square FOB)
7,36061,36059,New York,Nassau County,New York,New York County,98487,1368111,Ted Weiss Federal Office Building (formerly Foley Square FOB)
8,36061,36061,New York,New York County,New York,New York County,730763,1664404,Ted Weiss Federal Office Building (formerly Foley Square FOB)
9,36061,36081,New York,Queens County,New York,New York County,384517,2385994,Ted Weiss Federal Office Building (formerly Foley Square FOB)
10,36061,36085,New York,Richmond County,New York,New York County,48783,483941,Ted Weiss Federal Office Building (formerly Foley Square FOB)
11,36061,36103,New York,Suffolk County,New York,New York County,40993,1517429,Ted Weiss Federal Office Building (formerly Foley Square FOB)
12,36061,36119,New York,Westchester County,New York,New York County,87102,985735,Ted Weiss Federal Office Building (formerly Foley Square FOB)
0,39061,18029,Indiana,Dearborn County,Ohio,Hamilton County,8047,50090,Test and Evaluation Facility
1,39061,21015,Kentucky,Boone County,Ohio,Hamilton County,10386,130136,Test and Evaluation Facility
2,39061,21037,Kentucky,Campbell County,Ohio,Hamilton County,14899,93705,Test and Evaluation Facility
3,39061,21117,Kentucky,Kenton County,Ohio,Hamilton County,18746,167765,Test and Evaluation Facility
4,39061,39017,Ohio,Butler County,Ohio,Hamilton County,48733,383683,Test and Evaluation Facility
5,39061,39025,Ohio,Clermont County,Ohio,Hamilton County,38856,207047,Test and Evaluation Facility
6,39061,39061,Ohio,Hamilton County,Ohio,Hamilton County,304920,824286,Test and Evaluation Facility
7,39061,39165,Ohio,Warren County,Ohio,Hamilton County,27975,230546,Test and Evaluation Facility
0,36067,36011,New York,Cayuga County,New York,Onondaga County,6746,80232,The Galleries
1,36067,36053,New York,Madison County,New York,Onondaga County,9799,72908,The Galleries
2,36067,36065,New York,Oneida County,New York,Onondaga County,3234,239236,The Galleries
3,36067,36067,New York,Onondaga County,New York,Onondaga County,201856,475515,The Galleries
4,36067,36075,New York,Oswego County,New York,Onondaga County,16234,123481,The Galleries
0,25025,25005,Massachusetts,Bristol County,Massachusetts,Suffolk County,12041,564846,The John W. McCormack Post Office & Courthouse
1,25025,25009,Massachusetts,Essex County,Massachusetts,Suffolk County,46261,787418,The John W. McCormack Post Office & Courthouse
2,25025,25017,Massachusetts,Middlesex County,Massachusetts,Suffolk County,148401,1602184,The John W. McCormack Post Office & Courthouse
3,25025,25021,Massachusetts,Norfolk County,Massachusetts,Suffolk County,96444,702913,The John W. McCormack Post Office & Courthouse
4,25025,25023,Massachusetts,Plymouth County,Massachusetts,Suffolk County,30545,523823,The John W. McCormack Post Office & Courthouse
5,25025,25025,Massachusetts,Suffolk County,Massachusetts,Suffolk County,270398,774572,The John W. McCormack Post Office & Courthouse
6,25025,25027,Massachusetts,Worcester County,Massachusetts,Suffolk County,9764,836644,The John W. McCormack Post Office & Courthouse
0,54069,39013,Ohio,Belmont County,West Virginia,Ohio County,5785,69738,The Valley Building
1,54069,39081,Ohio,Jefferson County,West Virginia,Ohio County,1349,68324,The Valley Building
2,54069,42125,Pennsylvania,Washington County,West Virginia,Ohio County,734,212548,The Valley Building
3,54069,54009,West Virginia,Brooke County,West Virginia,Ohio County,989,23858,The Valley Building
4,54069,54051,West Virginia,Marshall County,West Virginia,Ohio County,4089,33170,The Valley Building
5,54069,54069,West Virginia,Ohio County,West Virginia,Ohio County,14861,43521,The Valley Building
0,26055,26009,Michigan,Antrim County,Michigan,Grand Traverse County,1406,24400,Tribal Environmental Liaison - Traverse City (Relocation)
1,26055,26019,Michigan,Benzie County,Michigan,Grand Traverse County,2614,17971,Tribal Environmental Liaison - Traverse City (Relocation)
2,26055,26055,Michigan,Grand Traverse County,Michigan,Grand Traverse County,38667,93145,Tribal Environmental Liaison - Traverse City (Relocation)
3,26055,26079,Michigan,Kalkaska County,Michigan,Grand Traverse County,2038,17595,Tribal Environmental Liaison - Traverse City (Relocation)
4,26055,26089,Michigan,Leelanau County,Michigan,Grand Traverse County,3670,22698,Tribal Environmental Liaison - Traverse City (Relocation)
5,26055,26165,Michigan,Wexford County,Michigan,Grand Traverse County,1472,33538,Tribal Environmental Liaison - Traverse City (Relocation)
0,32003,32003,Nevada,Clark County,Nevada,Clark County,896293,2192887,UNLV On-Campus EPA Facilities
0,27053,27003,Minnesota,Anoka County,Minnesota,Hennepin County,63008,351422,US Courthouse
1,27053,27019,Minnesota,Carver County,Minnesota,Hennepin County,23208,103180,US Courthouse
2,27053,27037,Minnesota,Dakota County,Minnesota,Hennepin County,63785,420320,US Courthouse
3,27053,27053,Minnesota,Hennepin County,Minnesota,Hennepin County,517226,1248638,US Courthouse
4,27053,27123,Minnesota,Ramsey County,Minnesota,Hennepin County,72860,542810,US Courthouse
5,27053,27139,Minnesota,Scott County,Minnesota,Hennepin County,26241,145514,US Courthouse
6,27053,27141,Minnesota,Sherburne County,Minnesota,Hennepin County,12689,93526,US Courthouse
7,27053,27163,Minnesota,Washington County,Minnesota,Hennepin County,22052,256848,US Courthouse
8,27053,27171,Minnesota,Wright County,Minnesota,Hennepin County,26507,134829,US Courthouse
0,34023,34003,New Jersey,Bergen County,New Jersey,Middlesex County,4561,950113,Urban Watershed Research Facility
1,34023,34005,New Jersey,Burlington County,New Jersey,Middlesex County,4456,458813,Urban Watershed Research Facility
2,34023,34013,New Jersey,Essex County,New Jersey,Middlesex County,8058,807352,Urban Watershed Research Facility
3,34023,34017,New Jersey,Hudson County,New Jersey,Middlesex County,7066,689758,Urban Watershed Research Facility
4,34023,34019,New Jersey,Hunterdon County,New Jersey,Middlesex County,3907,128866,Urban Watershed Research Facility
5,34023,34021,New Jersey,Mercer County,New Jersey,Middlesex County,16549,373006,Urban Watershed Research Facility
6,34023,34023,New Jersey,Middlesex County,New Jersey,Middlesex County,212651,855458,Urban Watershed Research Facility
7,34023,34025,New Jersey,Monmouth County,New Jersey,Middlesex County,26869,638272,Urban Watershed Research Facility
8,34023,34027,New Jersey,Morris County,New Jersey,Middlesex County,4049,505067,Urban Watershed Research Facility
9,34023,34029,New Jersey,Ocean County,New Jersey,Middlesex County,10866,597487,Urban Watershed Research Facility
10,34023,34035,New Jersey,Somerset County,New Jersey,Middlesex County,25142,340460,Urban Watershed Research Facility
11,34023,34039,New Jersey,Union County,New Jersey,Middlesex County,28813,566117,Urban Watershed Research Facility
0,72147,72061,Puerto Rico,Guaynabo Municipio,Puerto Rico,Vieques Municipio,35,83728,Vieques Office Park
1,72147,72147,Puerto Rico,Vieques Municipio,Puerto Rico,Vieques Municipio,2808,8386,Vieques Office Park
2,72147,72153,Puerto Rico,Yauco Municipio,Puerto Rico,Vieques Municipio,60,33575,Vieques Office Park
0,49035,49011,Utah,Davis County,Utah,Salt Lake County,47388,349839,Wallace F. Bennett Federal Building
1,49035,49035,Utah,Salt Lake County,Utah,Salt Lake County,490409,1141457,Wallace F. Bennett Federal Building
2,49035,49045,Utah,Tooele County,Utah,Salt Lake County,10375,65770,Wallace F. Bennett Federal Building
3,49035,49049,Utah,Utah County,Utah,Salt Lake County,33741,602610,Wallace F. Bennett Federal Building
4,49035,49057,Utah,Weber County,Utah,Salt Lake County,9378,249349,Wallace F. Bennett Federal Building
0,53067,53027,Washington,Grays Harbor County,Washington,Thurston County,2136,73154,Washington Operations Office
1,53067,53033,Washington,King County,Washington,Thurston County,2043,2161990,Washington Operations Office
2,53067,53041,Washington,Lewis County,Washington,Thurston County,3635,77144,Washington Operations Office
3,53067,53045,Washington,Mason County,Washington,Thurston County,3416,62695,Washington Operations Office
4,53067,53053,Washington,Pierce County,Washington,Thurston County,7657,862336,Washington Operations Office
5,53067,53067,Washington,Thurston County,Washington,Thurston County,87072,273662,Washington Operations Office
0,25017,25009,Massachusetts,Essex County,Massachusetts,Middlesex County,66930,787418,West Cummings Park Warehouse
1,25017,25017,Massachusetts,Middlesex County,Massachusetts,Middlesex County,547589,1602184,West Cummings Park Warehouse
2,25017,25021,Massachusetts,Norfolk County,Massachusetts,Middlesex County,53182,702913,West Cummings Park Warehouse
3,25017,25023,Massachusetts,Plymouth County,Massachusetts,Middlesex County,10427,523823,West Cummings Park Warehouse
4,25017,25025,Massachusetts,Suffolk County,Massachusetts,Middlesex County,70770,774572,West Cummings Park Warehouse
5,25017,25027,Massachusetts,Worcester County,Massachusetts,Middlesex County,67242,836644,West Cummings Park Warehouse
6,25017,33011,New Hampshire,Hillsborough County,Massachusetts,Middlesex County,25413,416672,West Cummings Park Warehouse
7,25017,33015,New Hampshire,Rockingham County,Massachusetts,Middlesex County,13791,308863,West Cummings Park Warehouse
0,54069,39013,Ohio,Belmont County,West Virginia,Ohio County,5785,69738,Wheeling Field Office
1,54069,39081,Ohio,Jefferson County,West Virginia,Ohio County,1349,68324,Wheeling Field Office
2,54069,42125,Pennsylvania,Washington County,West Virginia,Ohio County,734,212548,Wheeling Field Office
