Var1,FIPS_IN,FIPS_OUT,Res_State_Name,Res_County_Name,Work_State_Name,Work_County_Name,Workers in Commuting Flow,Facility
19477,13059,13221,Georgia,Oglethorpe County,Georgia,Clarke County,3015,Region Four Field Equipment Center
19486,13059,13297,Georgia,Walton County,Georgia,Clarke County,1405,Region Four Field Equipment Center
19444,13059,13013,Georgia,Barrow County,Georgia,Clarke County,2207,Region Four Science and Ecosystems Support Division Laboratory
19449,13059,13059,Georgia,Clarke County,Georgia,Clarke County,41469,Region Four Science and Ecosystems Support Division Laboratory
19460,13059,13135,Georgia,Gwinnett County,Georgia,Clarke County,1849,Region Four Science and Ecosystems Support Division Laboratory
19467,13059,13157,Georgia,Jackson County,Georgia,Clarke County,3481,Region Four Science and Ecosystems Support Division Laboratory
19472,13059,13195,Georgia,Madison County,Georgia,Clarke County,5159,Region Four Science and Ecosystems Support Division Laboratory
19476,13059,13219,Georgia,Oconee County,Georgia,Clarke County,7711,Region Four Science and Ecosystems Support Division Laboratory
19477,13059,13221,Georgia,Oglethorpe County,Georgia,Clarke County,3015,Region Four Science and Ecosystems Support Division Laboratory
19486,13059,13297,Georgia,Walton County,Georgia,Clarke County,1405,Region Four Science and Ecosystems Support Division Laboratory
100916,42101,10003,Delaware,New Castle County,Pennsylvania,Philadelphia County,8972,Region Three Headquarters
101070,42101,34005,New Jersey,Burlington County,Pennsylvania,Philadelphia County,16884,Region Three Headquarters
101071,42101,34007,New Jersey,Camden County,Pennsylvania,Philadelphia County,31757,Region Three Headquarters
101075,42101,34015,New Jersey,Gloucester County,Pennsylvania,Philadelphia County,16169,Region Three Headquarters
101171,42101,42017,Pennsylvania,Bucks County,Pennsylvania,Philadelphia County,34582,Region Three Headquarters
101176,42101,42029,Pennsylvania,Chester County,Pennsylvania,Philadelphia County,12297,Region Three Headquarters
101184,42101,42045,Pennsylvania,Delaware County,Pennsylvania,Philadelphia County,52493,Region Three Headquarters
101205,42101,42091,Pennsylvania,Montgomery County,Pennsylvania,Philadelphia County,58910,Region Three Headquarters
101210,42101,42101,Pennsylvania,Philadelphia County,Pennsylvania,Philadelphia County,473604,Region Three Headquarters
112198,48113,48085,Texas,Collin County,Texas,Dallas County,152920,Renaissance Tower
112204,48113,48113,Texas,Dallas County,Texas,Dallas County,972082,Renaissance Tower
112206,48113,48121,Texas,Denton County,Texas,Dallas County,110780,Renaissance Tower
112211,48113,48139,Texas,Ellis County,Texas,Dallas County,24757,Renaissance Tower
112245,48113,48257,Texas,Kaufman County,Texas,Dallas County,21602,Renaissance Tower
112283,48113,48397,Texas,Rockwall County,Texas,Dallas County,18161,Renaissance Tower
112293,48113,48439,Texas,Tarrant County,Texas,Dallas County,144079,Renaissance Tower
81804,37063,37001,North Carolina,Alamance County,North Carolina,Durham County,4214,Research Triangle Park
81814,37063,37037,North Carolina,Chatham County,North Carolina,Durham County,3125,Research Triangle Park
81819,37063,37063,North Carolina,Durham County,North Carolina,Durham County,97552,Research Triangle Park
81824,37063,37077,North Carolina,Granville County,North Carolina,Durham County,5741,Research Triangle Park
81829,37063,37101,North Carolina,Johnston County,North Carolina,Durham County,2128,Research Triangle Park
81838,37063,37135,North Carolina,Orange County,North Carolina,Durham County,18142,Research Triangle Park
81842,37063,37145,North Carolina,Person County,North Carolina,Durham County,4359,Research Triangle Park
81852,37063,37183,North Carolina,Wake County,North Carolina,Durham County,53082,Research Triangle Park
67606,29510,17119,Illinois,Madison County,Missouri,St. Louis city,14195,Robert A. Young Federal Building
67610,29510,17133,Illinois,Monroe County,Missouri,St. Louis city,3356,Robert A. Young Federal Building
67621,29510,17163,Illinois,St. Clair County,Missouri,St. Louis city,16819,Robert A. Young Federal Building
67698,29510,29099,Missouri,Jefferson County,Missouri,St. Louis city,14473,Robert A. Young Federal Building
67722,29510,29183,Missouri,St. Charles County,Missouri,St. Louis city,14473,Robert A. Young Federal Building
67725,29510,29189,Missouri,St. Louis County,Missouri,St. Louis city,96037,Robert A. Young Federal Building
67737,29510,29510,Missouri,St. Louis city,Missouri,St. Louis city,82233,Robert A. Young Federal Building
130202,54039,54005,West Virginia,Boone County,West Virginia,Kanawha County,1890,Robert C Byrd Courthouse
130205,54039,54011,West Virginia,Cabell County,West Virginia,Kanawha County,1994,Robert C Byrd Courthouse
130208,54039,54019,West Virginia,Fayette County,West Virginia,Kanawha County,1828,Robert C Byrd Courthouse
130214,54039,54035,West Virginia,Jackson County,West Virginia,Kanawha County,2812,Robert C Byrd Courthouse
130216,54039,54039,West Virginia,Kanawha County,West Virginia,Kanawha County,73747,Robert C Byrd Courthouse
130218,54039,54043,West Virginia,Lincoln County,West Virginia,Kanawha County,1966,Robert C Byrd Courthouse
130232,54039,54079,West Virginia,Putnam County,West Virginia,Kanawha County,9932,Robert C Byrd Courthouse
130236,54039,54087,West Virginia,Roane County,West Virginia,Kanawha County,1084,Robert C Byrd Courthouse
13431,9009,9001,Connecticut,Fairfield County,Connecticut,New Haven County,25891,Robert N. Giaimo Federal Building
13432,9009,9003,Connecticut,Hartford County,Connecticut,New Haven County,20524,Robert N. Giaimo Federal Building
13433,9009,9005,Connecticut,Litchfield County,Connecticut,New Haven County,12968,Robert N. Giaimo Federal Building
13434,9009,9007,Connecticut,Middlesex County,Connecticut,New Haven County,14943,Robert N. Giaimo Federal Building
13435,9009,9009,Connecticut,New Haven County,Connecticut,New Haven County,305190,Robert N. Giaimo Federal Building
94967,40123,40027,Oklahoma,Cleveland County,Oklahoma,Pontotoc County,283,Robert S. Kerr Environmental Research Center
94968,40123,40029,Oklahoma,Coal County,Oklahoma,Pontotoc County,351,Robert S. Kerr Environmental Research Center
94970,40123,40049,Oklahoma,Garvin County,Oklahoma,Pontotoc County,353,Robert S. Kerr Environmental Research Center
94972,40123,40063,Oklahoma,Hughes County,Oklahoma,Pontotoc County,316,Robert S. Kerr Environmental Research Center
94983,40123,40099,Oklahoma,Murray County,Oklahoma,Pontotoc County,221,Robert S. Kerr Environmental Research Center
94990,40123,40123,Oklahoma,Pontotoc County,Oklahoma,Pontotoc County,15654,Robert S. Kerr Environmental Research Center
94991,40123,40125,Oklahoma,Pottawatomie County,Oklahoma,Pontotoc County,277,Robert S. Kerr Environmental Research Center
94993,40123,40133,Oklahoma,Seminole County,Oklahoma,Pontotoc County,607,Robert S. Kerr Environmental Research Center
43572,21111,18019,Indiana,Clark County,Kentucky,Jefferson County,18466,Romano Mazzoli Federal Building
43580,21111,18043,Indiana,Floyd County,Kentucky,Jefferson County,12020,Romano Mazzoli Federal Building
43586,21111,18061,Indiana,Harrison County,Kentucky,Jefferson County,4679,Romano Mazzoli Federal Building
43627,21111,21029,Kentucky,Bullitt County,Kentucky,Jefferson County,22263,Romano Mazzoli Federal Building
43650,21111,21111,Kentucky,Jefferson County,Kentucky,Jefferson County,323561,Romano Mazzoli Federal Building
43675,21111,21185,Kentucky,Oldham County,Kentucky,Jefferson County,17459,Romano Mazzoli Federal Building
43684,21111,21211,Kentucky,Shelby County,Kentucky,Jefferson County,6069,Romano Mazzoli Federal Building
43685,21111,21215,Kentucky,Spencer County,Kentucky,Jefferson County,5233,Romano Mazzoli Federal Building
21141,13121,13057,Georgia,Cherokee County,Georgia,Fulton County,22292,Sam Nunn Atlanta Federal Center
21143,13121,13063,Georgia,Clayton County,Georgia,Fulton County,36020,Sam Nunn Atlanta Federal Center
21144,13121,13067,Georgia,Cobb County,Georgia,Fulton County,94600,Sam Nunn Atlanta Federal Center
21148,13121,13077,Georgia,Coweta County,Georgia,Fulton County,11692,Sam Nunn Atlanta Federal Center
21154,13121,13089,Georgia,DeKalb County,Georgia,Fulton County,118775,Sam Nunn Atlanta Federal Center
21156,13121,13097,Georgia,Douglas County,Georgia,Fulton County,16239,Sam Nunn Atlanta Federal Center
21162,13121,13113,Georgia,Fayette County,Georgia,Fulton County,13017,Sam Nunn Atlanta Federal Center
21164,13121,13117,Georgia,Forsyth County,Georgia,Fulton County,27037,Sam Nunn Atlanta Federal Center
21166,13121,13121,Georgia,Fulton County,Georgia,Fulton County,340776,Sam Nunn Atlanta Federal Center
21171,13121,13135,Georgia,Gwinnett County,Georgia,Fulton County,72526,Sam Nunn Atlanta Federal Center
21179,13121,13151,Georgia,Henry County,Georgia,Fulton County,17933,Sam Nunn Atlanta Federal Center
21210,13121,13223,Georgia,Paulding County,Georgia,Fulton County,9909,Sam Nunn Atlanta Federal Center
3442,4013,4013,Arizona,Maricopa County,Arizona,Maricopa County,1752699,Sandra D. O'Connor Courthouse
3446,4013,4021,Arizona,Pinal County,Arizona,Maricopa County,58341,Sandra D. O'Connor Courthouse
128758,53033,53033,Washington,King County,Washington,King County,977541,Sea King Industrial Park
128767,53033,53053,Washington,Pierce County,Washington,King County,90535,Sea King Industrial Park
128771,53033,53061,Washington,Snohomish County,Washington,King County,119853,Sea King Industrial Park
98817,42045,10003,Delaware,New Castle County,Pennsylvania,Delaware County,9547,Secure Vehicle Storage
98861,42045,34007,New Jersey,Camden County,Pennsylvania,Delaware County,2651,Secure Vehicle Storage
98864,42045,34015,New Jersey,Gloucester County,Pennsylvania,Delaware County,3515,Secure Vehicle Storage
98900,42045,42017,Pennsylvania,Bucks County,Pennsylvania,Delaware County,2612,Secure Vehicle Storage
98903,42045,42029,Pennsylvania,Chester County,Pennsylvania,Delaware County,19164,Secure Vehicle Storage
98909,42045,42045,Pennsylvania,Delaware County,Pennsylvania,Delaware County,137983,Secure Vehicle Storage
98921,42045,42091,Pennsylvania,Montgomery County,Pennsylvania,Delaware County,13175,Secure Vehicle Storage
98925,42045,42101,Pennsylvania,Philadelphia County,Pennsylvania,Delaware County,17676,Secure Vehicle Storage
68197,30049,30007,Montana,Broadwater County,Montana,Lewis and Clark County,621,Senator Max Sieben Baucus Federal Building
68204,30049,30043,Montana,Jefferson County,Montana,Lewis and Clark County,2581,Senator Max Sieben Baucus Federal Building
68207,30049,30049,Montana,Lewis and Clark County,Montana,Lewis and Clark County,31183,Senator Max Sieben Baucus Federal Building
33239,18097,18011,Indiana,Boone County,Indiana,Marion County,11115,Shadeland Office Building
33261,18097,18057,Indiana,Hamilton County,Indiana,Marion County,61624,Shadeland Office Building
33262,18097,18059,Indiana,Hancock County,Indiana,Marion County,15331,Shadeland Office Building
33264,18097,18063,Indiana,Hendricks County,Indiana,Marion County,36137,Shadeland Office Building
33273,18097,18081,Indiana,Johnson County,Indiana,Marion County,29933,Shadeland Office Building
33279,18097,18095,Indiana,Madison County,Indiana,Marion County,6647,Shadeland Office Building
33280,18097,18097,Indiana,Marion County,Indiana,Marion County,349222,Shadeland Office Building
33286,18097,18109,Indiana,Morgan County,Indiana,Marion County,11052,Shadeland Office Building
7333,6037,6037,California,Los Angeles County,California,Los Angeles County,4181968,Southern California Response Warehouse
7343,6037,6059,California,Orange County,California,Los Angeles County,185058,Southern California Response Warehouse
7346,6037,6065,California,Riverside County,California,Los Angeles County,51975,Southern California Response Warehouse
7349,6037,6071,California,San Bernardino County,California,Los Angeles County,135859,Southern California Response Warehouse
7366,6037,6111,California,Ventura County,California,Los Angeles County,68295,Southern California Response Warehouse
12906,9001,9001,Connecticut,Fairfield County,Connecticut,Fairfield County,353084,Stamford Government Center
12908,9001,9005,Connecticut,Litchfield County,Connecticut,Fairfield County,11707,Stamford Government Center
12910,9001,9009,Connecticut,New Haven County,Connecticut,Fairfield County,51350,Stamford Government Center
13022,9001,36061,New York,New York County,Connecticut,Fairfield County,4899,Stamford Government Center
13040,9001,36119,New York,Westchester County,Connecticut,Fairfield County,19444,Stamford Government Center
88433,39035,39035,Ohio,Cuyahoga County,Ohio,Cuyahoga County,502300,"Steinmart Plaza, Westlake, Oh"
88439,39035,39055,Ohio,Geauga County,Ohio,Cuyahoga County,16920,"Steinmart Plaza, Westlake, Oh"
88451,39035,39085,Ohio,Lake County,Ohio,Cuyahoga County,38430,"Steinmart Plaza, Westlake, Oh"
88453,39035,39093,Ohio,Lorain County,Ohio,Cuyahoga County,43600,"Steinmart Plaza, Westlake, Oh"
88457,39035,39103,Ohio,Medina County,Ohio,Cuyahoga County,27647,"Steinmart Plaza, Westlake, Oh"
88465,39035,39133,Ohio,Portage County,Ohio,Cuyahoga County,11872,"Steinmart Plaza, Westlake, Oh"
88472,39035,39153,Ohio,Summit County,Ohio,Cuyahoga County,35941,"Steinmart Plaza, Westlake, Oh"
77881,36061,9001,Connecticut,Fairfield County,New York,New York County,29746,Ted Weiss Federal Office Building (formerly Foley Square FOB)
78038,36061,34003,New Jersey,Bergen County,New York,New York County,66501,Ted Weiss Federal Office Building (formerly Foley Square FOB)
78043,36061,34013,New Jersey,Essex County,New York,New York County,34421,Ted Weiss Federal Office Building (formerly Foley Square FOB)
78045,36061,34017,New Jersey,Hudson County,New York,New York County,87708,Ted Weiss Federal Office Building (formerly Foley Square FOB)
78048,36061,34023,New Jersey,Middlesex County,New York,New York County,28970,Ted Weiss Federal Office Building (formerly Foley Square FOB)
78063,36061,36005,New York,Bronx County,New York,New York County,204163,Ted Weiss Federal Office Building (formerly Foley Square FOB)
78080,36061,36047,New York,Kings County,New York,New York County,429343,Ted Weiss Federal Office Building (formerly Foley Square FOB)
78084,36061,36059,New York,Nassau County,New York,New York County,98487,Ted Weiss Federal Office Building (formerly Foley Square FOB)
78085,36061,36061,New York,New York County,New York,New York County,730763,Ted Weiss Federal Office Building (formerly Foley Square FOB)
78094,36061,36081,New York,Queens County,New York,New York County,384517,Ted Weiss Federal Office Building (formerly Foley Square FOB)
78096,36061,36085,New York,Richmond County,New York,New York County,48783,Ted Weiss Federal Office Building (formerly Foley Square FOB)
78104,36061,36103,New York,Suffolk County,New York,New York County,40993,Ted Weiss Federal Office Building (formerly Foley Square FOB)
78110,36061,36119,New York,Westchester County,New York,New York County,87102,Ted Weiss Federal Office Building (formerly Foley Square FOB)
89568,39061,18029,Indiana,Dearborn County,Ohio,Hamilton County,8047,Test and Evaluation Facility
89600,39061,21015,Kentucky,Boone County,Ohio,Hamilton County,10386,Test and Evaluation Facility
89604,39061,21037,Kentucky,Campbell County,Ohio,Hamilton County,14899,Test and Evaluation Facility
89618,39061,21117,Kentucky,Kenton County,Ohio,Hamilton County,18746,Test and Evaluation Facility
89698,39061,39017,Ohio,Butler County,Ohio,Hamilton County,48733,Test and Evaluation Facility
89701,39061,39025,Ohio,Clermont County,Ohio,Hamilton County,38856,Test and Evaluation Facility
89713,39061,39061,Ohio,Hamilton County,Ohio,Hamilton County,304920,Test and Evaluation Facility
89749,39061,39165,Ohio,Warren County,Ohio,Hamilton County,27975,Test and Evaluation Facility
78447,36067,36011,New York,Cayuga County,New York,Onondaga County,6746,The Galleries
78464,36067,36053,New York,Madison County,New York,Onondaga County,9799,The Galleries
78470,36067,36065,New York,Oneida County,New York,Onondaga County,3234,The Galleries
78471,36067,36067,New York,Onondaga County,New York,Onondaga County,201856,The Galleries
78474,36067,36075,New York,Oswego County,New York,Onondaga County,16234,The Galleries
52570,25025,25005,Massachusetts,Bristol County,Massachusetts,Suffolk County,12041,The John W. McCormack Post Office & Courthouse
52572,25025,25009,Massachusetts,Essex County,Massachusetts,Suffolk County,46261,The John W. McCormack Post Office & Courthouse
52576,25025,25017,Massachusetts,Middlesex County,Massachusetts,Suffolk County,148401,The John W. McCormack Post Office & Courthouse
52578,25025,25021,Massachusetts,Norfolk County,Massachusetts,Suffolk County,96444,The John W. McCormack Post Office & Courthouse
52579,25025,25023,Massachusetts,Plymouth County,Massachusetts,Suffolk County,30545,The John W. McCormack Post Office & Courthouse
52580,25025,25025,Massachusetts,Suffolk County,Massachusetts,Suffolk County,270398,The John W. McCormack Post Office & Courthouse
52581,25025,25027,Massachusetts,Worcester County,Massachusetts,Suffolk County,9764,The John W. McCormack Post Office & Courthouse
14053,11001,11001,District of Columbia,District of Columbia,District of Columbia,District of Columbia,252256,The Ronald Reagan Building
14139,11001,24003,Maryland,Anne Arundel County,District of Columbia,District of Columbia,18474,The Ronald Reagan Building
14145,11001,24017,Maryland,Charles County,District of Columbia,District of Columbia,15719,The Ronald Reagan Building
14150,11001,24027,Maryland,Howard County,District of Columbia,District of Columbia,9226,The Ronald Reagan Building
14152,11001,24031,Maryland,Montgomery County,District of Columbia,District of Columbia,111756,The Ronald Reagan Building
14153,11001,24033,Maryland,Prince George's County,District of Columbia,District of Columbia,139856,The Ronald Reagan Building
14414,11001,51013,Virginia,Arlington County,District of Columbia,District of Columbia,49463,The Ronald Reagan Building
14425,11001,51059,Virginia,Fairfax County,District of Columbia,District of Columbia,96224,The Ronald Reagan Building
14437,11001,51107,Virginia,Loudoun County,District of Columbia,District of Columbia,10600,The Ronald Reagan Building
14451,11001,51153,Virginia,Prince William County,District of Columbia,District of Columbia,22904,The Ronald Reagan Building
14464,11001,51510,Virginia,Alexandria city,District of Columbia,District of Columbia,27707,The Ronald Reagan Building
130714,54069,39013,Ohio,Belmont County,West Virginia,Ohio County,5785,The Valley Building
130721,54069,39081,Ohio,Jefferson County,West Virginia,Ohio County,1349,The Valley Building
130745,54069,42125,Pennsylvania,Washington County,West Virginia,Ohio County,734,The Valley Building
130752,54069,54009,West Virginia,Brooke County,West Virginia,Ohio County,989,The Valley Building
130761,54069,54051,West Virginia,Marshall County,West Virginia,Ohio County,4089,The Valley Building
130765,54069,54069,West Virginia,Ohio County,West Virginia,Ohio County,14861,The Valley Building
53877,26055,26009,Michigan,Antrim County,Michigan,Grand Traverse County,1406,Tribal Environmental Liaison - Traverse City (Relocation)
53879,26055,26019,Michigan,Benzie County,Michigan,Grand Traverse County,2614,Tribal Environmental Liaison - Traverse City (Relocation)
53890,26055,26055,Michigan,Grand Traverse County,Michigan,Grand Traverse County,38667,Tribal Environmental Liaison - Traverse City (Relocation)
53895,26055,26079,Michigan,Kalkaska County,Michigan,Grand Traverse County,2038,Tribal Environmental Liaison - Traverse City (Relocation)
53899,26055,26089,Michigan,Leelanau County,Michigan,Grand Traverse County,3670,Tribal Environmental Liaison - Traverse City (Relocation)
53923,26055,26165,Michigan,Wexford County,Michigan,Grand Traverse County,1472,Tribal Environmental Liaison - Traverse City (Relocation)
71296,32003,32003,Nevada,Clark County,Nevada,Clark County,896293,UNLV On-Campus EPA Facilities
58439,27053,27003,Minnesota,Anoka County,Minnesota,Hennepin County,63008,US Courthouse
58447,27053,27019,Minnesota,Carver County,Minnesota,Hennepin County,23208,US Courthouse
58456,27053,27037,Minnesota,Dakota County,Minnesota,Hennepin County,63785,US Courthouse
58464,27053,27053,Minnesota,Hennepin County,Minnesota,Hennepin County,517226,US Courthouse
58494,27053,27123,Minnesota,Ramsey County,Minnesota,Hennepin County,72860,US Courthouse
58502,27053,27139,Minnesota,Scott County,Minnesota,Hennepin County,26241,US Courthouse
58503,27053,27141,Minnesota,Sherburne County,Minnesota,Hennepin County,12689,US Courthouse
58514,27053,27163,Minnesota,Washington County,Minnesota,Hennepin County,22052,US Courthouse
58517,27053,27171,Minnesota,Wright County,Minnesota,Hennepin County,26507,US Courthouse
73712,34023,34003,New Jersey,Bergen County,New Jersey,Middlesex County,4561,Urban Watershed Research Facility
73713,34023,34005,New Jersey,Burlington County,New Jersey,Middlesex County,4456,Urban Watershed Research Facility
73717,34023,34013,New Jersey,Essex County,New Jersey,Middlesex County,8058,Urban Watershed Research Facility
73719,34023,34017,New Jersey,Hudson County,New Jersey,Middlesex County,7066,Urban Watershed Research Facility
73720,34023,34019,New Jersey,Hunterdon County,New Jersey,Middlesex County,3907,Urban Watershed Research Facility
73721,34023,34021,New Jersey,Mercer County,New Jersey,Middlesex County,16549,Urban Watershed Research Facility
73722,34023,34023,New Jersey,Middlesex County,New Jersey,Middlesex County,212651,Urban Watershed Research Facility
73723,34023,34025,New Jersey,Monmouth County,New Jersey,Middlesex County,26869,Urban Watershed Research Facility
73724,34023,34027,New Jersey,Morris County,New Jersey,Middlesex County,4049,Urban Watershed Research Facility
73725,34023,34029,New Jersey,Ocean County,New Jersey,Middlesex County,10866,Urban Watershed Research Facility
73728,34023,34035,New Jersey,Somerset County,New Jersey,Middlesex County,25142,Urban Watershed Research Facility
73730,34023,34039,New Jersey,Union County,New Jersey,Middlesex County,28813,Urban Watershed Research Facility
121023,49035,49011,Utah,Davis County,Utah,Salt Lake County,47388,Wallace F. Bennett Federal Building
121035,49035,49035,Utah,Salt Lake County,Utah,Salt Lake County,490409,Wallace F. Bennett Federal Building
121040,49035,49045,Utah,Tooele County,Utah,Salt Lake County,10375,Wallace F. Bennett Federal Building
121042,49035,49049,Utah,Utah County,Utah,Salt Lake County,33741,Wallace F. Bennett Federal Building
121046,49035,49057,Utah,Weber County,Utah,Salt Lake County,9378,Wallace F. Bennett Federal Building
26257,17031,17031,Illinois,Cook County,Illinois,Cook County,2095117,Warehouse 111A (300 N. Elizabeth)
26261,17031,17043,Illinois,DuPage County,Illinois,Cook County,138947,Warehouse 111A (300 N. Elizabeth)
26280,17031,17089,Illinois,Kane County,Illinois,Cook County,44221,Warehouse 111A (300 N. Elizabeth)
26284,17031,17097,Illinois,Lake County,Illinois,Cook County,77823,Warehouse 111A (300 N. Elizabeth)
26290,17031,17111,Illinois,McHenry County,Illinois,Cook County,32627,Warehouse 111A (300 N. Elizabeth)
26321,17031,17197,Illinois,Will County,Illinois,Cook County,89460,Warehouse 111A (300 N. Elizabeth)
26348,17031,18089,Indiana,Lake County,Illinois,Cook County,42490,Warehouse 111A (300 N. Elizabeth)
129345,53067,53027,Washington,Grays Harbor County,Washington,Thurston County,2136,Washington Operations Office
129348,53067,53033,Washington,King County,Washington,Thurston County,2043,Washington Operations Office
129350,53067,53041,Washington,Lewis County,Washington,Thurston County,3635,Washington Operations Office
129351,53067,53045,Washington,Mason County,Washington,Thurston County,3416,Washington Operations Office
129353,53067,53053,Washington,Pierce County,Washington,Thurston County,7657,Washington Operations Office
129360,53067,53067,Washington,Thurston County,Washington,Thurston County,87072,Washington Operations Office
52022,25017,25009,Massachusetts,Essex County,Massachusetts,Middlesex County,66930,West Cummings Park Warehouse
52026,25017,25017,Massachusetts,Middlesex County,Massachusetts,Middlesex County,547589,West Cummings Park Warehouse
52028,25017,25021,Massachusetts,Norfolk County,Massachusetts,Middlesex County,53182,West Cummings Park Warehouse
52029,25017,25023,Massachusetts,Plymouth County,Massachusetts,Middlesex County,10427,West Cummings Park Warehouse
52030,25017,25025,Massachusetts,Suffolk County,Massachusetts,Middlesex County,70770,West Cummings Park Warehouse
52031,25017,25027,Massachusetts,Worcester County,Massachusetts,Middlesex County,67242,West Cummings Park Warehouse
52061,25017,33011,New Hampshire,Hillsborough County,Massachusetts,Middlesex County,25413,West Cummings Park Warehouse
52063,25017,33015,New Hampshire,Rockingham County,Massachusetts,Middlesex County,13791,West Cummings Park Warehouse
130714,54069,39013,Ohio,Belmont County,West Virginia,Ohio County,5785,Wheeling Field Office
130721,54069,39081,Ohio,Jefferson County,West Virginia,Ohio County,1349,Wheeling Field Office
130745,54069,42125,Pennsylvania,Washington County,West Virginia,Ohio County,734,Wheeling Field Office
130752,54069,54009,West Virginia,Brooke County,West Virginia,Ohio County,989,Wheeling Field Office
130761,54069,54051,West Virginia,Marshall County,West Virginia,Ohio County,4089,Wheeling Field Office
130765,54069,54069,West Virginia,Ohio County,West Virginia,Ohio County,14861,Wheeling Field Office
95772,41003,41003,Oregon,Benton County,Oregon,Benton County,30157,Willamette Research Station
95777,41003,41039,Oregon,Lane County,Oregon,Benton County,805,Willamette Research Station
95779,41003,41043,Oregon,Linn County,Oregon,Benton County,6710,Willamette Research Station
95780,41003,41047,Oregon,Marion County,Oregon,Benton County,830,Willamette Research Station
95782,41003,41053,Oregon,Polk County,Oregon,Benton County,921,Willamette Research Station
14053,11001,11001,District of Columbia,District of Columbia,District of Columbia,District of Columbia,252256,William Jefferson Clinton FED Bldg
14139,11001,24003,Maryland,Anne Arundel County,District of Columbia,District of Columbia,18474,William Jefferson Clinton FED Bldg
14145,11001,24017,Maryland,Charles County,District of Columbia,District of Columbia,15719,William Jefferson Clinton FED Bldg
14150,11001,24027,Maryland,Howard County,District of Columbia,District of Columbia,9226,William Jefferson Clinton FED Bldg
14152,11001,24031,Maryland,Montgomery County,District of Columbia,District of Columbia,111756,William Jefferson Clinton FED Bldg
14153,11001,24033,Maryland,Prince George's County,District of Columbia,District of Columbia,139856,William Jefferson Clinton FED Bldg
14414,11001,51013,Virginia,Arlington County,District of Columbia,District of Columbia,49463,William Jefferson Clinton FED Bldg
14425,11001,51059,Virginia,Fairfax County,District of Columbia,District of Columbia,96224,William Jefferson Clinton FED Bldg
14437,11001,51107,Virginia,Loudoun County,District of Columbia,District of Columbia,10600,William Jefferson Clinton FED Bldg
14451,11001,51153,Virginia,Prince William County,District of Columbia,District of Columbia,22904,William Jefferson Clinton FED Bldg
14464,11001,51510,Virginia,Alexandria city,District of Columbia,District of Columbia,27707,William Jefferson Clinton FED Bldg
27164,17043,17031,Illinois,Cook County,Illinois,DuPage County,141403,Willowbrook Center
27167,17043,17043,Illinois,DuPage County,Illinois,DuPage County,281682,Willowbrook Center
27177,17043,17089,Illinois,Kane County,Illinois,DuPage County,46216,Willowbrook Center
27179,17043,17093,Illinois,Kendall County,Illinois,DuPage County,15642,Willowbrook Center
27181,17043,17097,Illinois,Lake County,Illinois,DuPage County,7299,Willowbrook Center
27186,17043,17111,Illinois,McHenry County,Illinois,DuPage County,5721,Willowbrook Center
27201,17043,17197,Illinois,Will County,Illinois,DuPage County,56335,Willowbrook Center
